original_filename,curated_filename,category,description,known_date,known_people,source,original_url,wayback_recovery_url,suitable_for_public_display,identification_research_required,original_path,curated_path,bytes,sha256
arctic_char_signage_2014.preview.jpg,arctic-char-dinner-roadside-sign-2014.jpg,community-events,"Roadside letter-board sign advertising ""ARCTIC CHAR DINNER & DANCE — $35 TICKETS — MAY 2"", with a Carleton Masonic Lodge sign mounted beside it.",2014-05-02 event; EXIF DateTimeOriginal 2014-04-29,,Archived Carleton Lodge No. 465 website,http://carletonlodge465.com/sites/carletonlodge465.com/files/images/arctic_char_signage_2014.preview.jpg,https://web.archive.org/web/20140518211736id_/http://carletonlodge465.com/sites/carletonlodge465.com/files/images/arctic_char_signage_2014.preview.jpg,yes,no,history/archive/legacy-owned/originals/community-events/arctic_char_signage_2014.preview.jpg,history/archive/legacy-owned/curated/community-events/arctic-char-dinner-roadside-sign-2014.jpg,65418,8ce5f1c55cefadcf0af5c09ae0badad0b6a8d60587a7a56f52b39c1a4986c73d
char-poster-2014.preview.jpg,,community-events,"Printed promotional poster for the Carleton Masonic Lodge Arctic Char Dinner & Dance, Friday 2 May 2014 at the Carp Agricultural Hall, 3790 Carp Rd. NOT SUITABLE FOR PUBLICATION AS-IS: the poster prints a named member's personal telephone number and personal email address. Redact before any public use.",2014-05-02 (printed on the poster),Poster names a member as ticket contact (personal contact details shown).,Archived Carleton Lodge No. 465 website,http://carletonlodge465.com/sites/carletonlodge465.com/files/images/char-poster-2014.preview.jpg,https://web.archive.org/web/20140518221723id_/http://carletonlodge465.com/sites/carletonlodge465.com/files/images/char-poster-2014.preview.jpg,no,no,history/archive/legacy-owned/originals/community-events/char-poster-2014.preview.jpg,,69544,4f42a9a8572b6801db38a6a4efd72db25f0790181d460b49d5170b1aef3732c1
img_5692.thumbnail.jpg,,community-events,Indoor evening function: a lectern and lamp in a darkened hall. 100px thumbnail.,,,Archived Carleton Lodge No. 465 website,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/img_5692.thumbnail.jpg,https://web.archive.org/web/20150826014704id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/img_5692.thumbnail.jpg,yes,yes,history/archive/legacy-owned/originals/community-events/img_5692.thumbnail.jpg,,1377,c721d485eb6b66a7892b4daabd88972aaecdd9996b63f2de6c2bf6d072802aa7
img_5693.thumbnail.jpg,,community-events,Indoor evening function: a table with a lamp and dark surroundings. 100px thumbnail.,,,Archived Carleton Lodge No. 465 website,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/img_5693.thumbnail.jpg,https://web.archive.org/web/20160527164213id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/img_5693.thumbnail.jpg,yes,yes,history/archive/legacy-owned/originals/community-events/img_5693.thumbnail.jpg,,1696,727320c2acc7c96c6d6e7d17b044168f3014f5957f5fa261e9025558f92f3862
img_5695.thumbnail.jpg,,community-events,"Banquet hall with rows of chairs and tables set for a function, people standing at the back. 100px thumbnail.",,,Archived Carleton Lodge No. 465 website,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/img_5695.thumbnail.jpg,https://web.archive.org/web/20150826014515id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/img_5695.thumbnail.jpg,yes,yes,history/archive/legacy-owned/originals/community-events/img_5695.thumbnail.jpg,,2380,a02b20392c4110d4a13891c1923807aacde3a9888716ae2632f399948fe02a55
img_5698.thumbnail.jpg,,community-events,Corner of a function room with lighting stand and doorway. 100px thumbnail.,,,Archived Carleton Lodge No. 465 website,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/img_5698.thumbnail.jpg,https://web.archive.org/web/20150826033451id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/img_5698.thumbnail.jpg,yes,yes,history/archive/legacy-owned/originals/community-events/img_5698.thumbnail.jpg,,1324,1ce394efbf1b2bd823fd7e837533054aa0e7df19eaeaf6c885ac4119864e7248
img_5700.thumbnail.jpg,,community-events,"Banquet table detail: a lit candle in a glass holder, printed menu or programme cards and table settings. 100px thumbnail.",,,Archived Carleton Lodge No. 465 website,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/img_5700.thumbnail.jpg,https://web.archive.org/web/20150826010637id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/img_5700.thumbnail.jpg,yes,yes,history/archive/legacy-owned/originals/community-events/img_5700.thumbnail.jpg,,2372,51aefeaad3502c7974fab339947674e3084720dfbf806a5e771080f063a16d68
img_5700_0.thumbnail.jpg,,community-events,Duplicate capture of the banquet table detail with candle and printed cards. 100px thumbnail.,,,Archived Carleton Lodge No. 465 website,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/img_5700_0.thumbnail.jpg,https://web.archive.org/web/20160527120351id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/img_5700_0.thumbnail.jpg,yes,yes,history/archive/legacy-owned/originals/community-events/img_5700_0.thumbnail.jpg,,2372,51aefeaad3502c7974fab339947674e3084720dfbf806a5e771080f063a16d68
img_5705.thumbnail.jpg,,community-events,"Three men in formal dress standing and talking at the function, one holding a microphone. 100px thumbnail.",,,Archived Carleton Lodge No. 465 website,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/img_5705.thumbnail.jpg,https://web.archive.org/web/20150826005806id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/img_5705.thumbnail.jpg,yes,yes,history/archive/legacy-owned/originals/community-events/img_5705.thumbnail.jpg,,1898,6dd032ac9ae994ee9dbf0f396a1f28bd7edb153abe862a1b8fd80a5beded2236
img_5706.thumbnail.jpg,,community-events,Two men in formal dress reading from a document at the function. 100px thumbnail.,,,Archived Carleton Lodge No. 465 website,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/img_5706.thumbnail.jpg,https://web.archive.org/web/20150826010104id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/img_5706.thumbnail.jpg,yes,yes,history/archive/legacy-owned/originals/community-events/img_5706.thumbnail.jpg,,1899,10e73e3178f780afbee4164c44fe70bf5094d584759e7551cdcd92d21ae2fa8c
